sha,date,hadron,hadron-cloud,hadron-trusted,hadron-cloud-trusted
ce3ccbbb354aeee4f2c153038a58a21f8e6e8192,2026-06-22T20:53:33Z,220049721,112388177,191742321,84078116
ba5a4a5d6c737979723f52718168d4dea43fe1af,2026-06-24T09:37:58Z,220049721,112387854,191742943,84078459
5d2e300cfb47247f7bcfbf50d7907458e61bd6b5,2026-06-25T09:49:18Z,220049721,112387855,191740898,84078460
239f9887abc303a34d01192368928c8511a0b2c9,2026-06-25T18:06:54Z,220049721,112387855,191740898,84078460
ae12f001fb5cdd0e919a2078ad902a76a62ef5ef,2026-06-26T12:24:55Z,220060512,112399810,191752390,84090460
d48f407110c3194100dd4008b9d7e26073b74e34,2026-06-28T10:38:59Z,220083139,112425916,191773253,84116400
42283828299dd9bbe5e9b5ff2a8beea02ad9dbe3,2026-06-29T10:37:46Z,220102035,112444810,191793745,84135295
5046ffc487636ed74ef6cf651813d7fdb8301039,2026-06-29T13:52:00Z,220102035,112444810,191795545,84135295
60a9683ca5e348527851eeaf6f2127022f0b7d1b,2026-07-01T10:29:03Z,220098758,112444974,191789019,84135995
b58fec5c6be250854e9ffc7ea02d8f7a7870948d,2026-07-05T09:39:46Z,220111529,112465749,191800437,84156147
2a1d0e7e8973fe9b618ca56fcd82dffa98d46c57,2026-07-06T21:46:59Z,220111529,112465749,191800437,84156147
f1a66a3beb885d0b9d582c666d059ee36e8405db,2026-07-07T08:53:27Z,220116964,113465322,191805160,85155861
9770f45f5a29785412b9e1caef41b10d0a3eb5c9,2026-07-07T10:13:08Z,220116964,113465322,191805160,85155861
15591032ddc1eb45a46025bd34273753c2062c81,2026-07-08T09:35:44Z,220116964,113465322,191805160,85155861
a059a4eccc51586bcb67322156ebcc6ad2ee3825,2026-07-09T14:21:57Z,220116964,113465322,191805160,85155861
2193edcd4aba9edf26ec4dddb12629a0a616c7db,2026-07-09T16:16:18Z,220116964,113465322,191805160,85155861
